Liga-ID;Liga-Name;Einladungslink;Teilnehmer1;Teilnehmer2;Teilnehmer3;Teilnehmer4;Teilnehmer5;Teilnehmer6;Teilnehmer7;Teilnehmer8;Teilnehmer9;Teilnehmer10;Teilnehmer11;Teilnehmer12;;;;
840584387857866752;CFFC DivL XI;https://sleeper.app/i/LdPPnaz28QqE;Sappo83;BraveCompanions;elborito;iniestaseinvater;SwissGuy;AsatorOdinson;lambeauleague0902;veeee;matzimabuse;Winky2158;ChrisB17;an77i;;;;
863583627827666944;CFFC DivL XIII;https://sleeper.app/i/YZnRl10dqR44;CristianoP7;CrenshawHusslers;Lordem;tychson;Blitzkrieger;secrow;fabo21814;garoppopotamus;jimbosve;sparkeey;Adambarte;dany1991;;;;
863583723524845568;CFFC DivL XIV;https://sleeper.app/i/m2JGaxoZ8wne;itsjusttobi;cheesecakefactory;tenovic;FlorengX;MadFerIt;dannyko10;Robsn94;arnimvangloeckchen;Sidoppelbe;Jopps86;hassangpg;MTthePlaybook;;;;
863583807880667136;CFFC DivL VX;https://sleeper.app/i/zGNbaGNPBVoo;armindv;lurge;quhni;Denni;coltsjobig;BroManchild;adrivankenobi;Stefano23;Cubano91;broetchen;hegelmeister;jonashey;;;;
863583907046629376;CFFC DivL XVI;https://sleeper.app/i/0meQaNBEL7Za;Elgodowski;dakidno21;jamallutz;Copa92;thevoid;donbi1bo;schmiddi99;yrrwicht;FloHalb90;gunamic;geheimtipp;panthera;;;;
840584446401941504;CFFC DivL XII;https://sleeper.app/i/jPGGWzdQznw9;Matzn14;icebob3000;zettl;lukasb19;Slevin1910;gregor0502;PatBo;demeusel;stefanFCB94;gopackmac;Uiuiuiii;stefann;;;;
840593306877554688;AFFC RL Nord I;https://sleeper.app/i/YdEWzE9R05bW;hatschia;elwillmp;schorschel90;meisterk4jo;larskraftwagen;makai2018;jenksxl;colognegoats;packershamburg;pandaamlimit;freddy3287;SacksonvilleJaguars;;;;
840593373395005440;AFFC RL Nord II;https://sleeper.app/i/QdkPEJ91PjlE;trocho;Butterfinger;adelbert;yugo91;danielrdf;meanmachine97;Gusch88;Steelerhigh;torkinho;Rene13;patfynn;ballostelly;;;;
840593448296873984;AFFC RL Nord III;https://sleeper.app/i/QdkPERkzP4WN;Achimo;tofa1909;letelnunicorns;flokuspokus10;maxvonjanikowski;leroylenzen;guehnter2012;dielanze49;tibo855;hannoverbears;bauerharms;Niklas723;;;;
840593512285200384;AFFC RL Nord IV;https://sleeper.app/i/QdkPEYl0oeQP;Jotel;FabianL80;hoecki49;cron82;schnixx82;steelers;collipackers;DKBucs;jonorth94;lyn7;DJWhat90;r1kudous3nn1n87;;;;
840593587585531904;AFFC RL Nord V;https://sleeper.app/i/jPG0V4X56kJK;flymbfly;osse14hsvh;gillmano;apyruss;taserface;janmo;nobelschroedersvaluepicks;LucVa;fritschi;mrlenn;anubis74;fewo;;;;
840593648230998016;AFFC RL Nord VI;https://sleeper.app/i/JXDYEdBd5xAg;JayKay19;Madexx78;hoecke13;donkanaille;youri;bakermaywin;madc86;janjicha96;bromantiker;cerisier;gerrihellewelle;tjg1337;;;;
840593765285629952;CFFC RL Nord I;https://sleeper.app/i/LdPMYRBJbo7m;Alexwor90;Dustinator;jannik49ers;dougbrain;Chrissy49;paddymelonie;Johnny95;BastiBean;MichaelKlock;bufsol83;mauli;hendrik2209;;;;
